
19 9 21 4 1 2	-29140	113	49,	78	940	862	12,4	
19 9 21 4 2 2	-29117	1	50,	112	930	818	12,1	
19 9 21 4 3 1	-29104	2	50,	80	938	858	12,3	

19 9 21 6 2 0	-26388	121	50,	83	940	857	10,13	
19 9 21 6 10 11	-26381	1	51,	78	942	864	12,2	
19 9 21 6 11 2	-26371	2	51,	73	943	870	12,2	


19 9 21 8 10 1	-23655	22	51,	96	921	825	12,10	
19 9 21 8 11 1	-23632	1	52,	105	920	815	12,10	
19 9 21 8 12 1	-23619	2	52,	100	918	818	12,11	

19 9 22 7 54 1	6051	6	52,	108	915	807	12,0	
19 9 22 7 55 2	6074	1	53,	102	910	808	12,0	
19 9 22 7 56 1	6087	2	53,	110	913	803	11,13	


19 9 27 5 11 0	28899	6	53,	111	914	803	16,3	
19 9 27 5 12 1	28922	1	54,	112	914	802	16,3	
19 9 27 5 13 0	28935	0	54,	121	921	800	16,3	


19 9 27 7 12 2	31652	14	54,	107	914	807	15,15	
19 9 27 7 13 0	31674	1	55,	117	922	805	15,14	
19 9 27 7 14 2	31688	0	55,	117	914	797	15,14	


19 9 28 5 26 1	-3393	6	55,	111	915	804	18,13	
19 9 28 5 27 1	-3370	1	56,	111	913	802	18,13	
19 9 28 5 28 0	-3357	0	56,	125	905	780	18,13	


19 9 28 7 37 2	-412	6	56,	111	914	803	18,10
19 9 28 7 38 2	-389	0	57,	117	908	791	18,11
