19 8 7 16 42 0	36	1	0,	222	795	-573	
19 8 7 16 43 0	73	2	0,	220	798	-578	
19 8 7 16 44 1	111	3	0,	218	799	-581	
19 8 7 16 45 0	148	4	0,	218	800	-582	
19 8 7 16 46 2	5	1	0,	219	798	-579	35,8	
19 8 7 16 47 0	27	2	0,	219	798	-579	35,14	
19 8 7 16 49 2	3	1	0,	0	1023	-1023	30,9	
19 8 7 16 50 0	25	2	0,	0	1023	-1023	29,6	
19 8 7 16 51 0	42	3	0,	0	1023	-1023	28,12	
19 8 7 16 52 0	65	4	0,	0	1023	-1023	28,7	
19 8 7 16 53 1	88	5	0,	0	1023	-1023	28,1	
19 8 7 16 54 2	3	1	0,	1023	0	1023	27,12	
19 8 7 16 55 0	19	2	0,	1023	0	1023	27,8	
19 8 7 16 57 0	13	1	0,	793	224	569	30,0	
19 8 7 16 58 0	2	1	0,	798	218	580	30,5	
19 8 7 16 59 1	10	1	0,	801	216	585	30,14	
19 8 7 17 0 2	33	2	0,	803	214	589	32,6	
19 8 7 17 5 0	0	0	0,	687	329	358	34,13	
19 8 7 17 6 0	2	0	0,	690	328	362	34,13	
19 8 7 17 7 1	25	0	0,	691	327	364	34,4	
19 8 7 17 8 1	47	0	0,	692	326	366	33,5	
19 8 7 17 9 0	11	0	0,	693	325	368	32,13	
19 8 7 17 10 0	34	0	0,	690	329	361	32,7	
19 8 7 17 11 0	2	0	0,	694	324	370	31,7	
19 8 7 17 12 0	8	0	0,	696	323	373	31,4	
19 8 7 17 13 2	18	0	0,	696	322	374	30,12	
19 8 7 17 15 2	22	0	0,	689	329	360	30,9	
19 8 7 17 16 1	7	0	0,	691	328	363	30,9	
19 8 7 17 17 1	29	0	0,	692	326	366	30,7	
19 8 7 17 18 1	52	0	0,	694	324	370	30,4	
19 8 7 17 19 1	74	0	0,	696	322	374	30,0	
19 8 7 17 20 1	97	0	0,	696	323	373	29,15	
19 8 7 17 21 1	120	0	0,	697	320	377	30,0	
19 8 7 17 22 2	143	0	0,	697	321	376	29,11	
19 8 7 17 23 2	166	0	0,	696	323	373	30,2	
19 8 7 17 24 0	188	0	0,	697	321	376	30,3	
19 8 7 17 25 0	211	0	0,	698	321	377	30,4	
19 8 7 17 26 0	234	0	0,	698	320	378	30,6	
19 8 7 17 27 1	257	0	0,	699	319	380	30,8	
19 8 7 17 28 1	280	0	0,	700	319	381	30,10	
19 8 7 17 29 1	303	0	0,	700	318	382	30,11	
19 8 7 17 30 1	326	0	0,	701	317	384	30,13	
19 8 7 17 31 2	349	0	0,	701	317	384	30,14	
19 8 7 17 32 2	372	0	0,	702	316	386	31,0	
19 8 7 17 33 0	394	0	0,	702	316	386	31,1	
19 8 7 17 34 0	417	0	0,	702	316	386	31,2	
19 8 7 17 35 0	440	0	0,	703	315	388	31,3	
19 8 7 17 36 1	463	0	0,	703	315	388	31,4	
19 8 7 17 37 1	486	0	0,	703	314	389	31,5	
19 8 7 17 38 1	509	0	0,	704	314	390	31,6	
19 8 7 17 39 1	532	0	0,	704	313	391	31,6	
19 8 7 17 40 2	555	0	0,	705	313	392	31,7	
19 8 7 17 41 2	578	0	0,	705	312	393	31,7	
19 8 7 17 42 0	600	0	0,	705	312	393	31,8	
19 8 7 17 43 0	623	0	0,	706	312	394	31,8	
19 8 7 17 44 0	646	0	0,	706	311	395	31,9	
19 8 7 17 45 1	669	0	0,	706	311	395	31,9	
19 8 7 17 46 1	692	0	0,	707	310	397	31,9	
19 8 7 17 47 1	715	0	0,	707	310	397	31,9	
